	positive	neutral	negative	total	positive_list	neutral_list	negative_list
0767817443	2	9	37	48	[5132, 910]	[1072, 6247, 9432, 4448, 1546, 5787, 4812, 1916, 5990]	[28, 2040, 1046, 5053, 6055, 8068, 4095, 144, 3201, 2215, 7212, 5303, 9300, 3287, 2307, 3349, 6398, 4379, 3368, 2381, 405, 9500, 565, 8633, 3640, 2654, 1730, 2762, 6814, 9818, 9820, 9834, 1800, 796, 3918, 4998, 7958]
0767802454	24	12	25	61	[3037, 4036, 9052, 3070, 1098, 8125, 5150, 5156, 5237, 7313, 4368, 6418, 4403, 7444, 4573, 8612, 2705, 6735, 4783, 6880, 6944, 7914, 1954, 2972]	[7163, 7387, 6506, 2519, 5548, 9551, 1603, 7594, 8637, 7816, 7883, 8978]	[3040, 7149, 9250, 5342, 5367, 9409, 6426, 7436, 4495, 2527, 3515, 9547, 5588, 4607, 2617, 6656, 6706, 2713, 691, 3745, 6796, 8831, 9928, 6945, 905]
0783221487	6	10	57	73	[6081, 9094, 6120, 5663, 1759, 7919]	[3051, 8056, 4062, 4250, 9482, 5614, 598, 8684, 7738, 8948]	[8034, 5057, 6061, 102, 110, 5138, 5148, 8154, 6200, 9202, 1216, 209, 1263, 270, 3273, 2293, 8324, 7334, 7348, 6389, 1374, 6404, 4398, 2404, 2413, 9429, 433, 7433, 8462, 7451, 8509, 2526, 7503, 564, 6623, 4632, 5648, 5674, 5681, 5708, 2751, 5796, 6819, 4804, 2791, 780, 2815, 3812, 7784, 7805, 6891, 7837, 4924, 9955, 1920, 9961, 4979]
0780627806	1	8	9	18	[7457]	[3038, 109, 4205, 3311, 7441, 1581, 3700, 7975]	[8044, 5059, 6212, 8613, 7667, 5828, 8835, 3854, 845]
0780622642	7	5	24	36	[4029, 5373, 9398, 2426, 3613, 8705, 820]	[3186, 9319, 829, 5932, 9968]	[7036, 3098, 1143, 9231, 230, 9333, 7318, 6429, 3452, 8493, 4504, 5522, 7519, 5586, 1577, 599, 9637, 7626, 4680, 5767, 4776, 2769, 9838, 8808]
0780618548	1	0	5	6	[9504]	[]	[6034, 1104, 122, 2453, 484]
0782008062	0	1	3	4	[]	[4421]	[5032, 8667, 4931]
0783222955	0	2	9	11	[]	[1036, 8339]	[4127, 1148, 4353, 3369, 7549, 9600, 706, 5849, 1880]
0767844335	0	0	1	1	[]	[]	[5033]
0764005553	29	5	2	36	[4031, 40, 2061, 6139, 7150, 203, 3237, 266, 9312, 4314, 4440, 7497, 3557, 5646, 2636, 8639, 5731, 8696, 2718, 5788, 753, 3799, 8796, 5873, 5876, 9893, 6986, 4995, 7986]	[8055, 4098, 8211, 933, 8953]	[1542, 2557]
0767817737	0	0	5	5	[]	[]	[3039, 1258, 7342, 2809, 5836]
0767024427	1	1	4	6	[8363]	[4952]	[6035, 8077, 6645, 7798]
076780094X	14	12	24	50	[8037, 33, 3245, 283, 2311, 3364, 9540, 6612, 614, 3704, 6774, 8799, 6870, 1815]	[8043, 9043, 7097, 7231, 8506, 1651, 3776, 5827, 6918, 8866, 9990, 8973]	[8113, 5117, 113, 4141, 9158, 6216, 196, 6242, 9229, 6263, 6270, 7234, 264, 9289, 1291, 7410, 4441, 8473, 3496, 4529, 4598, 5679, 3656, 5812]
0780620135	0	1	2	3	[]	[1591]	[2035, 5668]
0767817672	2	2	1	5	[5485, 2846]	[4032, 9372]	[8217]
0782006795	1	2	4	7	[6038]	[8680, 7724]	[9464, 1497, 7751, 7890]
078322544X	1	4	11	16	[6749]	[34, 4074, 1132, 6342]	[7152, 3169, 3329, 7378, 723, 731, 2884, 2920, 951, 8968, 7956]
0310285569	5	0	0	5	[9038, 262, 1555, 606, 8651]	[]	[]
0783224443	0	0	2	2	[]	[]	[7038, 6910]
0767803329	0	2	3	5	[]	[1039, 2173]	[1239, 9259, 6550]
0780623274	0	0	6	6	[]	[]	[2038, 5504, 6556, 9582, 2700, 5725]
0767823931	0	0	2	2	[]	[]	[8040, 615]
0767801601	16	4	2	22	[36, 2075, 3081, 6175, 6327, 3338, 6440, 8706, 1711, 3734, 2778, 9819, 2876, 6962, 9999, 1991]	[8162, 3330, 7459, 9815]	[477, 9739]
078060718X	0	2	15	17	[]	[9059, 7590]	[1040, 1139, 1193, 9241, 1249, 8319, 3416, 3431, 3743, 3772, 5885, 5901, 3871, 6959, 7892]
0767802594	1	1	6	8	[1589]	[1252]	[4035, 8349, 6443, 9738, 3877, 7898]
0780020820	0	1	3	4	[]	[8867]	[7040, 5065, 5519]
0307142493	51	5	2	58	[1043, 1048, 2059, 2060, 1109, 6136, 7127, 5149, 6214, 8233, 8234, 3243, 271, 5316, 2315, 6361, 6384, 8377, 4380, 5390, 3426, 9467, 6514, 4517, 1512, 3504, 4552, 6567, 4563, 3541, 4599, 1575, 4606, 4617, 8638, 7629, 5688, 1657, 5696, 9708, 687, 3797, 4846, 2858, 8845, 9898, 6948, 6956, 8913, 4981, 956]	[1041, 5079, 9369, 1499, 2995]	[8283, 713]
0741100967	5	0	2	7	[7041, 1054, 7603, 8801, 9900]	[]	[145, 2554]
0780631234	3	0	10	13	[2505, 9539, 9917]	[]	[38, 7166, 8252, 7282, 6367, 2356, 2603, 9671, 6878, 7921]
0767016351	11	3	0	14	[3044, 8061, 1088, 3090, 6364, 7339, 2401, 7425, 6481, 8591, 6824]	[2350, 8360, 7752]	[]
0764005022	16	13	6	35	[2222, 5346, 9349, 8378, 9473, 2483, 9534, 8548, 581, 8621, 2656, 4700, 747, 5821, 1875, 3995]	[6042, 6155, 4162, 8176, 8258, 4324, 3493, 566, 5655, 6855, 4849, 3855, 9927]	[8130, 4155, 2675, 9753, 7771, 5949]
0767821548	1	1	6	8	[6613]	[3190]	[4038, 6156, 9308, 6405, 8505, 5613]
0307554066	11	1	6	18	[2067, 2430, 424, 458, 3609, 8675, 7718, 6845, 3885, 911, 1995]	[5088]	[1042, 5341, 2591, 3783, 3796, 3909]
0780619765	2	0	0	2	[9042, 5986]	[]	[]
0780607465	0	0	2	2	[]	[]	[7043, 6445]
078321958X	2	9	7	18	[1762, 3879]	[2043, 211, 6250, 4300, 4382, 444, 8495, 7563, 1833]	[6066, 9175, 3178, 3185, 8772, 5948, 4972]
0780626702	0	2	11	13	[]	[611, 7709]	[3046, 5231, 1230, 8484, 509, 3509, 9642, 6668, 4695, 3860, 8887]
0783211856	1	5	17	23	[5809]	[338, 1550, 5746, 881, 8982]	[8046, 6151, 8271, 6341, 1357, 385, 414, 9497, 559, 1567, 4605, 5607, 4671, 1675, 7799, 9911, 4936]
0780022300	2	3	12	17	[7812, 7867]	[6046, 9435, 2773]	[4178, 3271, 2540, 9577, 3553, 1671, 4710, 4755, 3820, 4985, 1953, 7972]
0783216084	2	4	11	17	[9311, 9948]	[3468, 804, 8857, 9913]	[1045, 1081, 7093, 8301, 4419, 5792, 2811, 8825, 3889, 3962, 978]
0767816234	1	5	11	17	[3659]	[2224, 6298, 5732, 5900, 8955]	[4042, 7068, 1082, 2111, 6643, 2635, 2742, 3760, 4868, 2889, 9943]
0780631277	0	1	9	10	[]	[6595]	[3047, 9162, 9360, 5664, 5750, 3739, 5842, 1814, 7860]
0782011098	0	0	3	3	[]	[]	[4043, 9799, 8904]
0738920339	10	0	0	10	[8048, 1164, 8365, 9550, 3641, 7643, 2787, 8777, 5925, 8916]	[]	[]
0767805739	2	0	8	10	[8404, 6803]	[]	[2046, 1165, 313, 2693, 6738, 7712, 2771, 6805]
0783113943	1	1	9	11	[6964]	[4899]	[8049, 4350, 6566, 4665, 4689, 5734, 2767, 737, 5790]
0780631641	1	1	10	12	[4630]	[7047]	[8079, 9228, 8267, 9305, 365, 3392, 7524, 3646, 822, 7959]
0767817656	0	2	12	14	[]	[3119, 8387]	[43, 1064, 2119, 5366, 8433, 6484, 1627, 3710, 9786, 4906, 918, 2994]
0767832302	0	3	14	17	[]	[3064, 514, 9722]	[6049, 50, 2208, 2219, 243, 6448, 4452, 1586, 7571, 9663, 7619, 4685, 3829, 4902]
0782008372	4	3	22	29	[292, 4410, 5528, 4570]	[276, 499, 7946]	[3049, 3074, 4193, 6363, 9357, 9385, 2386, 8411, 400, 410, 7427, 6570, 3534, 1561, 2644, 7609, 2689, 1738, 6820, 9962, 2971, 7957]
0767015533	26	5	1	32	[7048, 9053, 3088, 4115, 2142, 4169, 172, 6223, 7192, 5234, 5261, 1269, 319, 1377, 2394, 7423, 6536, 4528, 1580, 6711, 1728, 2802, 4904, 1931, 5985, 3963]	[1119, 6259, 8288, 7299, 1769]	[4954]
0783219571	2	1	1	4	[5050, 1126]	[2643]	[9156]
0767818040	0	1	10	11	[]	[5882]	[1050, 6052, 70, 6625, 2741, 758, 779, 7833, 2890, 3928]
0767816757	1	0	3	4	[7135]	[]	[2048, 7431, 2758]
0767827724	1	0	1	2	[45]	[]	[7664]
0782002064	2	3	5	10	[8438, 8536]	[8209, 9844, 3927]	[6050, 4110, 6243, 7278, 826]
0783224079	2	0	20	22	[9556, 5834]	[]	[1051, 8085, 7082, 108, 7115, 1130, 3280, 2427, 472, 5500, 2564, 562, 1582, 8593, 658, 7756, 2855, 4921, 9944, 5952]
0780630882	2	3	23	28	[2159, 7745]	[3072, 9193, 7267]	[1053, 9091, 3094, 1134, 4146, 4166, 4323, 5361, 1386, 6459, 6470, 7478, 9603, 1634, 6718, 3695, 4788, 4794, 3858, 7850, 904, 8965, 1999]
078062372X	0	0	4	4	[]	[]	[46, 7306, 1785, 2946]
0769720226	0	0	1	1	[]	[]	[2051]
0780021541	1	3	3	7	[4674]	[8053, 4973, 3972]	[8168, 2397, 4663]
0780020723	1	1	4	6	[47]	[8843]	[2193, 8503, 1571, 6690]
0783221312	1	2	4	7	[7177]	[7051, 529]	[8373, 3450, 7679, 4744]
0767827694	0	0	3	3	[]	[]	[3053, 7891, 957]
0783225199	2	2	10	14	[9054, 9205]	[7466, 8881]	[6231, 1324, 8485, 515, 8539, 9649, 9866, 5874, 4932, 5971]
0764004719	6	0	1	7	[3141, 9144, 9706, 1733, 4961, 5975]	[]	[5055]
0767800311	7	1	5	13	[5212, 3250, 8502, 560, 2599, 7777, 1944]	[6254]	[49, 9172, 4374, 7455, 3575]
0767839129	2	9	45	56	[2593, 6780]	[5082, 3225, 3419, 5608, 8597, 4725, 5791, 4883, 937]	[7053, 8076, 5076, 4105, 106, 2155, 166, 5192, 7171, 193, 6357, 7330, 2353, 2363, 9375, 3396, 8434, 6461, 2461, 6492, 8513, 528, 548, 580, 5627, 7621, 3652, 1649, 9692, 2697, 9726, 4746, 8711, 1714, 1723, 9825, 7783, 7806, 3838, 8861, 7876, 8911, 2967, 4993, 2973]
0783117531	0	0	1	1	[]	[]	[7054]
0764009265	9	5	5	19	[1075, 2074, 6335, 7400, 9707, 3872, 863, 5922, 886]	[1218, 3336, 8611, 5735, 860]	[9056, 4142, 5356, 4523, 3668]
0783116330	0	1	1	2	[]	[7233]	[6056]
0767830520	1	0	19	20	[7242]	[]	[1060, 82, 6112, 115, 6180, 4197, 2238, 6293, 7276, 2369, 7510, 9586, 4656, 5658, 8645, 3737, 4766, 6858, 7940]
0780022041	0	0	2	2	[]	[]	[3058, 3126]
0738921475	12	0	0	12	[5058, 53, 1073, 74, 5108, 9115, 1124, 135, 7665, 4836, 869, 8917]	[]	[]
0740318934	19	1	7	27	[52, 3093, 132, 8188, 8198, 4228, 7294, 3370, 6469, 449, 505, 7499, 569, 5689, 5814, 2845, 8852, 6936, 8889]	[3422]	[9267, 6685, 7694, 9754, 2750, 777, 7822]
0767025105	4	3	2	9	[4057, 9431, 8769, 7802]	[9330, 3500, 5582]	[7173, 3465]
0780622537	1	3	10	14	[3775]	[174, 8310, 2334]	[3059, 1068, 3152, 8197, 5503, 5652, 4719, 9735, 3747, 3842]
0563412879	25	3	2	30	[54, 8127, 3125, 3148, 2161, 2186, 2192, 4203, 2317, 1321, 391, 6545, 545, 9619, 9639, 4664, 3660, 3687, 2711, 9781, 5863, 2859, 867, 3892, 1928]	[4101, 8369, 1863]	[1821, 5886]
0764002589	3	3	0	6	[3343, 5920, 8950]	[5061, 3171, 1700]	[]
0767847539	0	0	1	1	[]	[]	[3061]
0767832485	2	1	13	16	[3341, 8487]	[2908]	[6062, 3161, 2176, 3200, 4308, 2331, 9447, 3489, 5662, 6789, 8752, 3915, 5957]
0767018672	18	0	1	19	[2062, 2073, 2179, 177, 8203, 2234, 9322, 6543, 540, 7546, 9673, 8665, 7668, 8694, 4739, 7711, 1879, 9923]	[]	[2830]
0767026225	7	3	1	11	[1065, 1270, 7254, 3473, 8729, 803, 4958]	[5137, 1701, 2799]	[2936]
0767018702	6	0	0	6	[4060, 2395, 6472, 4555, 9633, 750]	[]	[]
0764007440	39	21	4	64	[3078, 5100, 7123, 8146, 5196, 5203, 6219, 7195, 3211, 2261, 1275, 7275, 1354, 4362, 9371, 373, 8406, 4408, 2435, 3446, 8460, 8528, 9592, 6654, 2641, 6667, 635, 8656, 8685, 8713, 3827, 5866, 7866, 2918, 6961, 1908, 3950, 1949, 949]	[9061, 3114, 130, 2153, 147, 4176, 6249, 7210, 7235, 6299, 9380, 7379, 4402, 1520, 8569, 2625, 4668, 6731, 2740, 9864, 888]	[6292, 4318, 7395, 2783]
0780629868	0	2	5	7	[]	[3153, 4385]	[6063, 6188, 6602, 7720, 8785]
0783218842	0	0	3	3	[]	[]	[2063, 6189, 2533]
0783115202	0	2	13	15	[]	[4901, 2949]	[8065, 6183, 8205, 235, 9306, 6359, 7432, 4562, 9769, 4770, 3789, 5846, 8939]
0780621948	1	1	1	3	[7062]	[2361]	[427]
0780631684	2	4	23	29	[8608, 8701]	[5208, 2228, 1498, 2694]	[5063, 1085, 7225, 8299, 7279, 7291, 4327, 9416, 3406, 4429, 5475, 2551, 8673, 6755, 3774, 4892, 858, 2900, 3940, 941, 943, 946, 8988]
0767817761	0	3	0	3	[]	[9062, 2138, 9937]	[]
0783218915	0	1	2	3	[]	[4591]	[7063, 2508]
0783114893	0	1	8	9	[]	[4946]	[1067, 5331, 1612, 2763, 9821, 1793, 9916, 6988]
0767819586	4	6	18	28	[5094, 1298, 314, 3508]	[2235, 8415, 558, 9613, 5620, 7829]	[4063, 6295, 275, 7316, 8455, 5461, 9494, 6510, 3479, 1490, 6539, 1537, 3621, 9795, 2808, 789, 9951, 7997]
0767836324	0	3	16	19	[]	[6194, 3643, 3713]	[2065, 2102, 8124, 119, 6220, 9284, 8343, 7341, 3658, 6712, 8792, 1851, 848, 1864, 1906, 8900]
076781083X	0	1	4	5	[]	[7533]	[4064, 8496, 6603, 4882]
0780022823	1	2	3	6	[62]	[5388, 5890]	[3113, 6511, 6875]
0780625609	0	2	1	3	[]	[9064, 714]	[7095]
0783115377	0	1	7	8	[]	[6233]	[6067, 9445, 452, 8492, 712, 5869, 1968]
0767825411	2	2	15	19	[9695, 4853]	[9170, 1174]	[1069, 1137, 5142, 9363, 4479, 3535, 7535, 6601, 3598, 6770, 9828, 7775, 7809, 1912, 7992]
0783214243	1	1	11	13	[4287]	[3075]	[8070, 7096, 4147, 9400, 381, 508, 1689, 9794, 8765, 4879, 2874]
0767809262	3	0	9	12	[9254, 7744, 8826]	[]	[63, 6106, 1283, 4320, 1339, 5419, 497, 7648, 8695]
0780020693	0	0	3	3	[]	[]	[7067, 2496, 2898]
0767806239	0	3	8	11	[]	[4067, 6532, 3703]	[5225, 4391, 9656, 4673, 3649, 9751, 7815, 932]
0615274641	3	3	17	23	[8071, 8107, 9276]	[1189, 5319, 701]	[5131, 1176, 7338, 5429, 8425, 2445, 9461, 5509, 4515, 8580, 3603, 1660, 3726, 2790, 6917, 891, 3953]
0767853636	4	9	20	33	[5249, 4289, 5309, 5393]	[80, 8101, 2149, 359, 5469, 1476, 9489, 5777, 6974]	[5069, 9098, 4179, 305, 4352, 2365, 9382, 3388, 443, 9490, 1568, 5698, 1677, 675, 8735, 7749, 8820, 7824, 3937, 8995]
0780628799	0	8	23	31	[]	[1160, 7213, 8340, 6358, 1400, 587, 3657, 9953]	[8072, 6082, 2092, 7143, 1158, 5171, 8190, 7193, 9234, 5304, 7298, 4354, 3409, 2522, 9618, 9669, 5700, 9718, 5769, 2766, 735, 1754, 9852]
0738920363	20	1	3	24	[6083, 2156, 8289, 7303, 9324, 1333, 532, 6583, 2623, 1643, 1655, 1750, 8812, 5868, 8830, 1900, 9945, 6975, 7927, 8999]	[1950]	[2070, 9086, 2520]
0767817486	0	0	8	8	[]	[]	[4070, 1513, 5545, 5589, 6662, 8763, 8872, 1903]
0780021592	1	0	3	4	[8073]	[]	[2110, 8259, 7332]
0767825519	0	0	1	1	[]	[]	[3069]
0780614097	1	0	4	5	[2899]	[]	[67, 8463, 7602, 715]
0782010679	1	0	5	6	[1211]	[]	[7070, 4214, 8468, 3516, 3933]
0615837891	7	2	1	10	[7072, 8100, 4526, 2719, 8738, 4835, 9849]	[1308, 7763]	[7599]
0780621573	0	2	32	34	[]	[1114, 1825]	[7073, 3097, 5154, 141, 4281, 4282, 4315, 4322, 9345, 7352, 1387, 8420, 6456, 5517, 4525, 6540, 4534, 6597, 9599, 1587, 707, 8716, 9756, 8724, 9767, 4806, 3784, 6848, 4873, 6896, 3947, 2959]
0780626478	1	2	6	9	[8078]	[6352, 574]	[6301, 9391, 8504, 7557, 4865, 2850]
0767826728	3	5	24	32	[4123, 5239, 8243]	[8226, 3742, 1831, 1871, 9907]	[6080, 2116, 9124, 1140, 4140, 3150, 3205, 257, 3295, 5375, 4396, 6435, 2439, 2460, 8476, 536, 6620, 3617, 7754, 6897, 3882, 7905, 9981, 8960]
0780623711	1	0	6	7	[2724]	[]	[5078, 4219, 7264, 8625, 4762, 8921]
0780631528	1	5	6	12	[3294]	[320, 3610, 9698, 693, 4827]	[7074, 4246, 1347, 8575, 8605, 6720]
0738900370	16	1	2	19	[72, 8081, 9137, 8172, 9225, 8254, 2321, 1452, 4553, 5587, 5602, 5629, 2781, 1827, 8899, 8932]	[2302]	[2099, 7522]
0780622588	1	1	9	11	[7595]	[6395]	[7075, 2185, 9189, 1201, 6339, 4485, 3748, 3787, 2983]
0767811410	1	1	14	16	[4729]	[7719]	[2077, 4138, 3263, 6369, 8400, 2433, 3424, 9652, 2660, 4792, 6850, 4848, 2844, 9970]
076781777X	0	0	7	7	[]	[]	[4080, 1084, 5085, 375, 3715, 2745, 5830]
0767817745	1	1	1	3	[4081]	[4470]	[5096]
0780021967	2	5	3	10	[4143, 8895]	[4255, 1328, 9337, 4850, 2912]	[7077, 5447, 4622]
0767835069	0	0	4	4	[]	[]	[2079, 9290, 6432, 882]
078201061X	0	4	4	8	[]	[1115, 6337, 388, 9882]	[7078, 6252, 3278, 8494]
0740321757	5	1	2	8	[1163, 4206, 3326, 6682, 2699]	[6786]	[9081, 8984]
0767023447	4	1	0	5	[3082, 4114, 3202, 1432]	[5572]	[]
0767812417	0	2	5	7	[]	[5552, 2915]	[78, 2097, 4608, 5685, 7879]
0767026977	10	3	0	13	[5083, 9199, 6348, 425, 5526, 6565, 730, 3777, 6844, 884]	[9203, 396, 9878]	[]
0783114176	0	2	0	2	[]	[7079, 7741]	[]
0780020464	1	0	0	1	[3084]	[]	[]
0780618068	0	1	7	8	[]	[426]	[7080, 8136, 9513, 8614, 7593, 686, 967]
0764005448	2	6	2	10	[6271, 3579]	[2148, 1251, 1588, 4629, 8836, 9950]	[1086, 8690]
0767817648	2	1	2	5	[285, 6624]	[5745]	[4086, 5486]
0767827813	0	0	1	1	[]	[]	[1087]
0767804236	0	1	2	3	[]	[6970]	[6093, 8312]
0780021061	0	1	1	2	[]	[1112]	[7083]
0740319183	10	1	1	12	[7417, 428, 8560, 7633, 1742, 6833, 9824, 5848, 7882, 3935]	[4661]	[6094]
0767081455	23	0	2	25	[6095, 138, 1153, 7155, 9196, 5277, 332, 5439, 8482, 9502, 4519, 3518, 3558, 3583, 7617, 4681, 4753, 1734, 5776, 5784, 6911, 2986, 1998]	[]	[7354, 2580]
0780023099	0	0	1	1	[]	[]	[9089]
0783215126	1	0	5	6	[279]	[]	[7087, 1094, 4713, 6782, 8927]
0738920967	16	4	3	23	[7092, 124, 9171, 2187, 9215, 306, 7320, 9395, 397, 1480, 6632, 6754, 2794, 1812, 952, 972]	[5093, 5401, 7851, 8943]	[7517, 7695, 1948]
0767802683	0	1	10	11	[]	[8615]	[90, 9151, 2200, 3193, 4230, 2562, 6658, 708, 934, 976]
0780623746	0	2	8	10	[]	[4092, 8522]	[1209, 1316, 7390, 2451, 4636, 1705, 790, 885]
0767811437	0	1	6	7	[]	[3678]	[7090, 5112, 2158, 2312, 5379, 8922]
0780619951	2	3	15	20	[2786, 851]	[9184, 5228, 4446]	[6102, 96, 2124, 6258, 3373, 2497, 8568, 4583, 680, 6773, 2780, 8851, 3893, 979, 7974]
0767818059	1	1	3	5	[3605]	[4721]	[1096, 7634, 763]
0767837371	0	0	6	6	[]	[]	[1097, 3270, 6386, 5463, 5774, 7910]
076701135X	7	4	0	11	[5098, 2135, 8409, 6740, 4824, 1873, 3925]	[5269, 8489, 2568, 8574]	[]
0767837991	1	1	2	4	[9444]	[2098]	[4234, 3792]
0780612906	0	2	9	11	[]	[9701, 4777]	[4094, 336, 523, 626, 9807, 4847, 8838, 8896, 2963]
0783222068	0	2	3	5	[]	[5099, 3945]	[9183, 437, 755]
076781505X	2	4	9	15	[1102, 1615]	[7382, 5716, 8839, 7847]	[7105, 5160, 4164, 2247, 7487, 5789, 8755, 5853, 5897]
0767826701	1	0	2	3	[2101]	[]	[2390, 6653]
0767821467	0	0	3	3	[]	[]	[4099, 1192, 4254]
0780620860	0	1	1	2	[]	[1508]	[2104]
0767817710	1	2	17	20	[9829]	[5185, 3906]	[8104, 6131, 2127, 9272, 5330, 8383, 6496, 2539, 533, 2566, 4610, 6677, 2652, 2776, 8762, 1787, 2891]
0780619412	3	0	9	12	[4235, 3227, 9647]	[]	[99, 4116, 9198, 9257, 7470, 9541, 7677, 9813, 4926]
0767811100	1	1	9	11	[1817]	[8458]	[100, 176, 8653, 8712, 8726, 7858, 6951, 3917, 3932]
0767839145	0	0	4	4	[]	[]	[9106, 4122, 8152, 4724]
0783219660	0	1	3	4	[]	[9204]	[2108, 7681, 6775]
0780023420	0	2	2	4	[]	[1110, 774]	[9487, 4918]
0780022882	0	0	2	2	[]	[]	[9107, 3959]
0780621980	2	3	16	21	[5856, 7920]	[3520, 4711, 1790]	[5111, 6268, 7304, 8353, 4357, 4512, 6585, 6590, 3708, 2789, 8810, 7791, 5883, 6904, 2975, 1997]
0767835980	1	0	4	5	[4259]	[]	[7103, 1415, 5604, 6686]
0739040375	4	2	0	6	[4543, 8758, 1889, 4968]	[4109, 5906]	[]
0783112750	0	2	5	7	[]	[8662, 5785]	[5116, 5133, 4293, 604, 6727]
0783219598	0	1	3	4	[]	[8355]	[2115, 4201, 9717]
0767834860	1	1	9	11	[8557]	[535]	[4112, 186, 2285, 8441, 3469, 3628, 8686, 5748, 4751]
0767853946	1	1	12	14	[5928]	[4611]	[4113, 4291, 5339, 5351, 9410, 4412, 6594, 5677, 4708, 5728, 9980, 7982]
0767815963	2	0	4	6	[1118, 5763]	[]	[7157, 5302, 5566, 6960]
0767827686	0	1	2	3	[]	[2376]	[5120, 9335]
0782006752	0	0	10	10	[]	[]	[112, 191, 1228, 6323, 5312, 3432, 469, 480, 6609, 2735]
0780022386	0	4	8	12	[]	[6124, 4229, 3258, 871]	[9243, 5324, 3585, 3661, 2826, 2877, 2929, 1977]
078062856X	1	4	14	19	[2532]	[1296, 1652, 1708, 8817]	[9118, 6383, 7376, 3451, 7467, 2582, 7624, 9675, 5756, 8807, 2834, 1922, 8985, 986]
0767847563	0	0	3	3	[]	[]	[5122, 6408, 743]
0783223609	0	2	6	8	[]	[4117, 9258]	[1276, 1375, 7501, 9672, 3902, 4955]
0783113145	1	0	2	3	[4118]	[]	[6186, 8250]
0782006809	1	1	6	8	[5371]	[1371]	[2121, 6162, 3180, 7180, 9549, 9946]
076781956X	1	3	15	19	[4332]	[2212, 4299, 6914]	[5123, 3129, 3134, 7247, 6294, 282, 7337, 1509, 4560, 4603, 7568, 6689, 7698, 6812, 7848]
078062162X	0	1	5	6	[]	[8394]	[9119, 7183, 5207, 8421, 6937]
0782007058	0	0	1	1	[]	[]	[1125]
0780621638	0	1	6	7	[]	[2310]	[6128, 4386, 4427, 1471, 2777, 924]
0780629450	3	1	16	20	[2525, 1926, 3964]	[7321]	[5125, 5193, 1407, 7401, 2447, 5460, 1474, 2530, 2549, 2685, 5761, 5780, 5835, 2910, 948, 1981]
0767824407	1	1	4	6	[3420]	[1127]	[6129, 6517, 2708, 5753]
0780018664	0	0	4	4	[]	[]	[1128, 5184, 4601, 6618]
0767817664	1	0	3	4	[3551]	[]	[9121, 5172, 1930]
0783112572	1	2	4	7	[1129]	[1434, 624]	[9263, 344, 7439, 9932]
0767849981	1	1	1	3	[5945]	[2406]	[3122]
0767821610	0	0	1	1	[]	[]	[7120]
0739600443	1	2	2	5	[1133]	[6206, 4593]	[8181, 1768]
0780630459	1	3	10	14	[5365]	[3123, 7162, 2657]	[7215, 8247, 6269, 4387, 4532, 1597, 9670, 9721, 7845, 2930]
0767817729	3	1	7	11	[3170, 2266, 3269]	[9765]	[9125, 8326, 5355, 4415, 9507, 1694, 9896]
0767809335	1	1	5	7	[2132]	[7620]	[217, 4280, 7350, 9376, 4916]
0780627024	1	3	7	11	[9460]	[9128, 3492, 2543]	[9154, 340, 7375, 2436, 1468, 9598, 3674]
0767835093	1	0	5	6	[7482]	[]	[5135, 9210, 6255, 3624, 9983]
0767818067	0	1	2	3	[]	[1527]	[6141, 5563]
0782009980	1	1	3	5	[9129]	[3380]	[2151, 7496, 6779]
0780023013	1	0	0	1	[4133]	[]	[]
0767810848	0	1	2	3	[]	[2457]	[3128, 2631]
0767806743	0	0	3	3	[]	[]	[1138, 1505, 2922]
0780627849	0	0	4	4	[]	[]	[4136, 5374, 9512, 8518]
0780022181	2	3	21	26	[5246, 3800]	[9579, 9719, 4715]	[5141, 5162, 5218, 9239, 5329, 7355, 481, 8527, 5639, 9674, 9716, 6772, 8766, 4803, 3837, 840, 2888, 877, 1966, 1970, 7955]
0767835174	1	2	1	4	[7645]	[1414, 2690]	[3133]
0767831322	0	1	6	7	[]	[5580]	[6152, 321, 8446, 9609, 3648, 9959]
0767810856	1	1	3	5	[3993]	[585]	[1142, 9481, 2984]
0767827716	0	1	10	11	[]	[3417]	[6154, 8216, 1288, 4325, 1451, 2506, 6577, 561, 9659, 8946]
0767821807	0	2	4	6	[]	[2144, 155]	[3175, 3187, 3316, 1818]
0767809726	0	1	1	2	[]	[6868]	[2145]
0782007015	2	1	5	8	[280, 3554]	[3913]	[3138, 5333, 3606, 1604, 2870]
0767827775	2	1	3	6	[6564, 8707]	[8718]	[1146, 239, 2765]
0780629159	1	1	8	10	[4538]	[9223]	[4144, 2183, 4310, 9419, 408, 3501, 6626, 7854]
0780626109	1	2	4	7	[8761]	[4466, 7616]	[9145, 7443, 1685, 7800]
0780020502	0	0	2	2	[]	[]	[7137, 9872]
0767812174	0	2	3	5	[]	[9146, 335]	[9266, 8427, 8794]
0783212771	0	0	3	3	[]	[]	[3146, 8780, 1789]
0780618831	0	1	0	1	[]	[8155]	[]
0764005383	7	2	0	9	[3147, 148, 7168, 1295, 9298, 5709, 2977]	[6309, 3981]	[]
0767809378	0	0	7	7	[]	[]	[3149, 6422, 9531, 8622, 9678, 3880, 3910]
0780020847	0	1	12	13	[]	[1595]	[4148, 4220, 5479, 1529, 5553, 3642, 9744, 4742, 3822, 1909, 914, 2956]
0767825489	1	1	2	4	[1154]	[9646]	[2706, 2779]
